route_pattern_id,route_id,direction_id,route_pattern_name,route_pattern_time_desc,route_pattern_typicality,route_pattern_sort_order,representative_trip_id
61-_-1,61,1,North Waltham - Waltham Center,,1,50610100,53145167
62-3-0,62,0,Alewife Station - Bedford VA Hospital,Weekdays only,1,50620000,53145707
62-3-1,62,1,Bedford VA Hospital - Alewife Station,Weekdays only,1,50620100,53145708
627-6-0,627,0,Alewife Station - Bedford VA Hospital,Weekdays only,1,50621000,53145733
627-7-0,627,0,Alewife Station - Bedford VA Hospital via Hanscom Airport,,2,50621003,53145736
627-7-1,627,1,Bedford VA Hospital - Alewife Station via Hanscom Airport,,1,50621100,53145734
627-6-1,627,1,Bedford VA Hospital - Alewife Station,Weekdays only,2,50621103,53145741
64-6-0,64,0,Kendall/MIT Station - Oak Square,Weekdays only,1,50640000,53144197
64-_-0,64,0,University Park - Oak Square,,3,50640003,53216854
64-3-0,64,0,"Central Square, Cambridge - Oak Square",Late nights only,3,50640005,53215040
64-6-1,64,1,Oak Square - Kendall/MIT Station,Weekdays only,1,50640100,53144195
64-_-1,64,1,Oak Square - University Park,,3,50640103,53216853
65-_-0,65,0,Kenmore Station - Brighton Center,,1,50650000,53164965
65-_-1,65,1,Brighton Center - Kenmore Station,,1,50650100,53164934
66-6-0,66,0,Nubian Station - Harvard Square,,1,50660000,53304643
66-5-0,66,0,Nubian Station - Brighton Center,School days only,3,50660004,53305062
66-B-0,66,0,"Nubian Station - Union Square, Boston",School days only,3,50660007,53306866_2
66-6-1,66,1,Harvard Square - Nubian Station,,1,50660100,53304634
66-7-1,66,1,Cambridge St & Warren St - Nubian Station,School days only,3,50660104,53304778
66-B-1,66,1,"Union Square, Boston - Nubian Station",School days only,3,50660106,53306322_2
67-4-0,67,0,Alewife Station - Turkey Hill,Weekdays only,1,50670000,53143712
67-4-1,67,1,Turkey Hill - Alewife Station,Weekdays only,1,50670100,53143714
68-_-0,68,0,Kendall/MIT Station - Harvard Square,Weekdays only,1,50680000,53144358
68-_-1,68,1,Harvard Square - Kendall/MIT Station,Weekdays only,1,50680100,53144361
69-_-0,69,0,Lechmere Station - Harvard Square,,1,50690000,53143996
69-_-1,69,1,Harvard Square - Lechmere Station,,1,50690100,53143995
69-1-1,69,1,Cambridge St & Felton St - Lechmere Station,School days only,3,50690104,53144223
70-6-0,70,0,University Park - Market Place Dr,,1,50700000,53145133
70-8-0,70,0,University Park - Waltham Center,,2,50700004,53145132
70-5-0,70,0,University Park - Cedarwood,Weekdays only,3,50700008,53145142
70-2-0,70,0,"Central Square, Cambridge - Watertown Square",Late nights only,3,50700011,53145216
70-6-1,70,1,Market Place Dr - University Park,,1,50700100,53145134
70-8-1,70,1,Waltham Center - University Park,,1,50700104,53145131
70-5-1,70,1,Cedarwood - University Park,Weekdays only,3,50700108,53145137
70-3-1,70,1,"Waltham Center - Central Square, Cambridge",Late nights only,3,50700111,53145215
71-2-0,71,0,"Harvard Station, Upper Busway - Watertown Square",,1,50710000,53145352
71-3-0,71,0,Harvard Square - Aberdeen Ave,AM peak hours only,3,50710004,53144646
71-5-1,71,1,Watertown Square - Harvard Station (Omits Cambridge Common),,1,50710100,53145354
71-1-1,71,1,Watertown Square - Harvard Station (Omits Cambridge Common),Weekdays only,2,50710104,53145357
71-3-1,71,1,Aberdeen Ave - Harvard Square,Weekdays only,3,50710106,53144658
73-2-0,73,0,"Harvard Station, Upper Busway - Waverley Square",,1,50730000,53145350
73-5-1,73,1,Waverley Square - Harvard Station (Omits Cambridge Common),,1,50730100,53145348
73-1-1,73,1,Waverley Square - Harvard Station (Omits Cambridge Common),Weekdays only,2,50730104,53145404
74-1-0,74,0,Harvard Station - Belmont Center,,1,50740000,53144679
74-1-1,74,1,Belmont Center - Harvard Station,,1,50740100,53144677
75-1-0,75,0,Harvard Station - Belmont Center,,1,50750000,53144678
75-2-0,75,0,Harvard Station - Aberdeen Ave,Weekdays only,2,50750004,53144656
75-1-1,75,1,Belmont Center - Harvard Station,,1,50750100,53144680
75-2-1,75,1,Aberdeen Ave - Harvard Station,AM peak hours only,2,50750104,53144645
76-_-0,76,0,Alewife Station - Lincoln Lab via Hanscom Civil Air Terminal,Weekdays only,1,50760000,53145724
76-3-0,76,0,Alewife Station - Lincoln Lab,Weekdays only,2,50760003,53145711
76-3-1,76,1,Lincoln Lab - Alewife Station via Hanscom Civil Air Terminal,Weekdays only,1,50760100,53145710
76-_-1,76,1,Lincoln Lab - Alewife Station,Weekdays only,1,50760102,53145723
77-_-0,77,0,Harvard Station - Arlington Heights,,1,50770000,53144907
77-_-1,77,1,Arlington Heights - Harvard Station,,1,50770100,53144909
77-1-1,77,1,Appleton St & Massachusetts Ave - Harvard Station,School days only,3,50770104,53143679
78-1-0,78,0,Harvard Station - Arlmont Village,,1,50780000,53144672
78-1-1,78,1,Arlmont Village - Harvard Station,,1,50780100,53144673
80-_-0,80,0,Lechmere Station - Arlington Center,,1,50800000,53144271
80-_-1,80,1,Arlington Center - Lechmere Station,,1,50800100,53144270
83-1-0,83,0,"Central Square, Cambridge - Rindge Ave",,1,50830000,53144108
83-2-0,83,0,Broadway & Felton St - Rindge Ave,School days only,3,50830004,53144921
83-1-1,83,1,"Rindge Ave - Central Square, Cambridge",,1,50830100,53144107
85-_-0,85,0,Kendall/MIT Station - Spring Hill,Weekdays only,1,50850000,53143683
85-_-1,85,1,Spring Hill - Kendall/MIT Station,Weekdays only,1,50850100,53143678
86-_-0,86,0,Reservoir Station - Sullivan Square Station,,1,50860000,53144499
86-_-1,86,1,Sullivan Square Station - Reservoir Station,,1,50860100,53144498
87-2-0,87,0,Lechmere Station - Arlington Center,,1,50870000,53143770
87-_-0,87,0,Lechmere Station - Clarendon Hill,,2,50870004,53143818
87-2-1,87,1,Arlington Center - Lechmere Station,,1,50870100,53143769
87-_-1,87,1,Clarendon Hill - Lechmere Station,,2,50870104,53143819
88-_-0,88,0,Lechmere Station - Clarendon Hill,,1,50880000,53143767
88-1-0,88,0,Highland Ave & School St - Clarendon Hill,School days only,3,50880004,53144902
88-_-1,88,1,Clarendon Hill - Lechmere Station,,1,50880100,53143768
89-2-0,89,0,Sullivan Square Station - Davis Station,,1,50890000,53435096
89-_-0,89,0,Sullivan Square Station - Clarendon Hill,Weekdays only,2,50890004,53435102
89-2-1,89,1,Davis Station - Sullivan Square Station,,1,50890100,53435095
89-_-1,89,1,Clarendon Hill - Sullivan Square Station,Weekdays only,2,50890104,53435103
8993-_-0,8993,0,Haymarket Station - Clarendon Hill,Sunday early mornings only,1,50891000,53488779
8993-_-1,8993,1,Clarendon Hill - Haymarket Station,Early mornings only,1,50891100,53435817
90-_-0,90,0,Assembly Row - Davis Station,,1,50900000,53435116
90-_-1,90,1,Davis Station - Assembly Row,,1,50900100,53435117
91-_-0,91,0,"Sullivan Square Station - Central Square, Cambridge",,1,50910000,53436993
91-_-1,91,1,"Central Square, Cambridge - Sullivan Square Station",,1,50910100,53436992
92-3-0,92,0,Downtown - Sullivan Square Station (Detour),,1,50920000,53435140
92-_-0,92,0,Haymarket Station - Sullivan Square Station,,3,50920004,53435973
92-4-1,92,1,Sullivan Square - Devonshire St @ Milk St,,1,50920100,53435134
92-_-1,92,1,Sullivan Square Station - Haymarket Station,,3,50920103,53435977
93-1-0,93,0,Downtown - Sullivan Square Station,,1,50930000,53435135
93-2-0,93,0,Downtown - Sullivan Square Station via Navy Yard,Weekdays only,2,50930004,53435992
93-_-0,93,0,Haymarket Station - Sullivan Square Station,,3,50930007,53436073
93-5-1,93,1,Sullivan Square Station - Downtown (Detour),,1,50930100,53435136
93-6-1,93,1,Sullivan Square Station - Downtown via Navy Yard (Detour),Weekdays only,2,50930103,53435148
93-_-1,93,1,Sullivan Square Station - Haymarket Station,,3,50930105,53436072
93-4-1,93,1,Bunker Hill St at Concord St - Haymarket Station,School days only,3,50930108,53436987
94-1-0,94,0,Davis Station - Medford Square,,1,50940000,53435242
94-2-0,94,0,Davis Station - Medford Square via Medford HS,AM peak hours only,3,50940004,53435244
94-1-1,94,1,Medford Square - Davis Station,,1,50940100,53435407
95-3-0,95,0,Sullivan Square Station - Arlington Center,,1,50950000,53435580
95-_-0,95,0,Sullivan Square Station - West Medford,,1,50950004,53435577
95-5-0,95,0,Fellsway Garage - West Medford via Winthrop St,School days only,3,50950008,53435277
95-2-0,95,0,Fellsway Garage - West Medford,Weekday early mornings only,3,50950010,53435276
95-3-1,95,1,Arlington Center - Sullivan Square Station,,1,50950100,53435195
95-_-1,95,1,West Medford - Sullivan Square Station,,1,50950104,53435194
95-5-1,95,1,West Medford - Fellsway Garage via Winthrop St,School days only,3,50950108,53435664
96-_-0,96,0,Harvard Station - Medford Square,,1,50960000,53435153
96-_-1,96,1,Medford Square - Harvard Station,,1,50960100,53435408
97-5-0,97,0,Wellington Station - Malden Center Station,,1,50970000,53435611
97-5-1,97,1,Malden Center Station - Wellington Station,,1,50970100,53435326
99-7-0,99,0,Wellington Station - Woodland Rd,,1,50990000,53435613
99-8-0,99,0,Wellington Station - Woodland Rd via Gateway Center,,3,50990004,53481535
99-7-1,99,1,Woodland Rd - Wellington Station,,1,50990100,53435601
99-8-1,99,1,Woodland Rd - Wellington Station via Gateway Center,,3,50990104,53481536
100-3-0,100,0,Wellington Station - Elm St,,1,51000000,53435610
100-1-0,100,0,Wellington Station - Roosevelt Circle,Evenings only,3,51000004,53488795
100-3-1,100,1,Elm St - Wellington Station,,1,51000100,53435265
100-1-1,100,1,Roosevelt Circle - Wellington Station,Evenings only,3,51000104,53488799
101-3-0,101,0,Sullivan Square Station - Malden Center Station,,1,51010000,53435154
101-2-0,101,0,Main St & Henry St - Winthrop St & Brooks St,School days only,3,51010004,53436989
101-3-1,101,1,Malden Center Station - Sullivan Square Station,,1,51010100,53435156
101-8-1,101,1,Winthrop St & Brooks St - Sullivan Square Station,School days only,3,51010104,53435191
104-_-0,104,0,Sullivan Square Station - Malden Center Station,,1,51040000,53436200
104-_-1,104,1,Malden Center Station - Sullivan Square Station,,1,51040100,53436201
105-1-0,105,0,Sullivan Square Station - Malden Center Station,,1,51050000,53435579
105-1-1,105,1,Malden Center Station - Sullivan Square Station,,1,51050100,53435324
106-_-0,106,0,Wellington Station - Lebanon Loop,,1,51060000,53435614
106-4-0,106,0,Malden Center Station - Lebanon Loop,Evenings only,3,51060004,53436327
106-3-1,106,1,Lebanon Loop - Wellington Station via Sylvan St,,1,51060100,53435288
106-_-1,106,1,Lebanon Loop - Wellington Station,Weekday evenings only,3,51060104,53435303
106-4-1,106,1,Lebanon Loop - Malden Center Station,Evenings only,3,51060106,53488793
108-6-0,108,0,Wellington Station - Linden Square,,1,51080000,53435608
108-7-0,108,0,Malden Center Station - Linden Square,School days only,3,51080004,53437286
108-2-0,108,0,Salem St & Sprague St - Linden Square,School days only,3,51080006,53435546
108-6-1,108,1,Linden Square - Wellington Station,,1,51080100,53435307
108-7-1,108,1,Linden Square - Malden Center Station,Weekdays only,3,51080104,53435308
109-_-0,109,0,Sullivan Square Station - Linden Square,,1,51090000,53436350
109-_-1,109,1,Linden Square - Sullivan Square Station,,1,51090100,53436349
110-_-0,110,0,Wellington Station - Wonderland Station,,1,51100000,53437059
110-4-0,110,0,Wellington Station - Broadway & Park Ave,,2,51100004,53437066
110-2-0,110,0,Wellington Station - Woodlawn,,3,51100008,53437064
110-_-1,110,1,Wonderland Station - Wellington Station,,1,51100100,53437060
110-4-1,110,1,Broadway & Park Ave - Wellington Station,,2,51100104,53437058
111-5-0,111,0,Haymarket Station - Woodlawn,,1,51110000,53436487
111-5-1,111,1,Woodlawn - Haymarket Station,,1,51110100,53436489
112-_-0,112,0,Wood Island Station - Wellington Station via Mystic Mall,,1,51120000,53437165
112-_-1,112,1,Wellington Station - Wood Island Station via Mystic Mall,,1,51120100,53437183
114-1-0,114,0,Maverick Station - Mystic Mall,Weekdays only,1,51140000,53402938
114-1-1,114,1,Mystic Mall - Maverick Station,Weekdays only,1,51140100,53402939
116-4-0,116,0,Maverick Station - Wonderland Station,,1,51160000,53403353
116-9-0,116,0,Broadway & Central Ave - Wonderland Station,Sunday early mornings only,3,51160004,53410130
116-4-1,116,1,Wonderland Station - Maverick Station,,1,51160100,53403352
117-5-0,117,0,Maverick Station - Wonderland Station,,1,51170000,53403360
117-1-0,117,0,"Haymarket Station - Logan Airport, Terminal C",Early mornings only,3,51170004,53403597
117-3-0,117,0,Haymarket Station - Lynn Bus Garage via Maverick Station,Late nights only,3,51170007,53403592
117-2-0,117,0,Haymarket Station - Maverick Station,Sunday early mornings only,3,51170010,53410065
117-5-1,117,1,Wonderland Station - Maverick Station,,1,51170100,53403370
117-3-1,117,1,Lynn Bus Garage - Haymarket Station via Maverick Station,Early mornings only,3,51170104,53403371
117-8-1,117,1,Broadway & Central Ave - Haymarket Station,Early mornings only,3,51170107,53403596
117-_-1,117,1,Wonderland Station - Haymarket Station,Sunday early mornings only,3,51170110,53410129
119-1-0,119,0,Beachmont Station - Northgate Shopping Center,Weekdays only,1,51190000,53402957
119-3-0,119,0,Beachmont Station - Northgate Shopping Ctr via Tomasello Way,,1,51190003,53402966
119-1-1,119,1,Northgate Shopping Center - Beachmont Station,Weekdays only,1,51190100,53402956
119-3-1,119,1,Northgate Shopping Ctr - Beachmont Station via Tomasello Way,,1,51190103,53402964
120-2-0,120,0,Maverick Station - Orient Heights Station via Wood Island,,1,51200000,53403073
120-6-0,120,0,Orient Heights Station - Orient Heights Station,School days only,3,51200004,53403331
120-2-1,120,1,Orient Heights Station - Maverick Station via Jeffries Point,,1,51200100,53403075
120-1-1,120,1,Orient Heights Station - Maverick Station,School days only,3,51200104,53403329
121-2-0,121,0,Maverick Station - Eagle Square,Weekdays only,1,51210000,53402993
121-_-0,121,0,Maverick Station - Wood Island Station,Weekday mornings only,2,51210003,53403009
121-2-1,121,1,Eagle Square - Maverick Station,Weekdays only,1,51210100,53402994
121-_-1,121,1,Wood Island Station - Maverick Station,Weekday mornings only,2,51210102,53403008
131-1-0,131,0,Malden Center - Melrose Highlands Station via East Side,Weekdays only,1,51310000,53435327
131-1-1,131,1,Melrose Highlands - Malden Center Station via East Side,Weekdays only,1,51310100,53435450
132-_-0,132,0,Malden Center Station - Redstone Shopping Center,,1,51320000,53435319
132-_-1,132,1,Redstone Shopping Center - Malden Center Station,,1,51320100,53435490
134-3-0,134,0,Wellington Station - North Woburn via Trade Center,Weekdays only,1,51340000,53435609
134-6-0,134,0,Wellington Station - Winthrop St & Playstead Rd,,2,51340002,53436968
134-5-0,134,0,Wellington Station - North Woburn,,2,51340005,53435607
134-2-0,134,0,Wellington - North Woburn via Trade Ctr & Veterans Ctr,Weekday middays only,3,51340009,53435627
134-7-0,134,0,Wellington Station - Medford Square,,3,51340011,53489439
134-4-0,134,0,Middlesex Ave - Winthrop St & Brooks St,School days only,3,51340013,53435404
134-9-0,134,0,Wellington Station - Woburn Square,Sundays only,3,51340015,53489483
134-3-1,134,1,North Woburn - Wellington Station via Trade Center,Weekdays only,1,51340100,53435458
134-6-1,134,1,Winthrop St & Playstead Rd - Wellington Station,,2,51340102,53436967
134-5-1,134,1,North Woburn - Wellington Station,,2,51340105,53435457
134-4-1,134,1,Winthrop St & Brooks St - Middlesex Ave,School days only,3,51340109,53435666
134-7-1,134,1,Medford Square - Wellington Station,,3,51340111,53489440
134-2-1,134,1,North Woburn - Wellington via Trade Ctr & Veterans Ctr,Weekday middays only,3,51340113,53437327
134-9-1,134,1,Woburn Square - Wellington Station,Sundays only,3,51340115,53489476
137-7-0,137,0,Malden Center - Lincoln St @ Reading Depot,,1,51370000,53435318
137-6-0,137,0,Oak Grove Busway - Lincoln St @ Reading Depot,Weekdays only,1,51370004,53435468
137-4-0,137,0,Malden Center - Main St @ Water St,,3,51370007,53435373
137-7-1,137,1,Lincoln St @ Reading Depot - Malden Center,,1,51370100,53435508
137-6-1,137,1,Lincoln St @ Reading Depot - Oak Grove Busway,Weekdays only,1,51370104,53435509
137-4-1,137,1,Main St @ Water St - Malden Center,,3,51370107,53435606
171-_-0,171,0,Nubian Station - Logan Airport Terminals,Early mornings only,1,51710000,53304631
201-9-0,201,0,Fields Corner - Keystone Apt via Puritan Mall & Neponset Ave,,1,52010000,53411238
201-_-0,201,0,Fields Corner - Adams St & Gallivan Blvd via Neponset Ave,,2,52010003,53411240
201-8-0,201,0,Fields Corner Station - Keystone Apts via Neponset Ave,Weekdays only,2,52010007,53411253
201-8-1,201,1,Keystone Apts - Fields Corner Station via Adams St,,1,52010100,53411241
201-_-1,201,1,Adams St & Gallivan Blvd - Fields Corner via Adams St,,2,52010103,53411242
201-1-1,201,1,Adams St & Gallivan Blvd - Fields Corner via Adams St,School days only,3,52010107,53304696_1
202-5-0,202,0,Fields Corner Station - Keystone Apts via Adams St,Weekdays only,1,52020000,53411249
202-A-0,202,0,Fields Corner - Adams St & Gallivan Blvd via Adams St,School days only,2,52020003,53164978_2
202-6-1,202,1,Keystone Apts - Fields Corner Station via Neponset Ave,Weekdays only,1,52020100,53411239
210-3-0,210,0,Fields Corner Station - Quincy Center Station,Weekdays only,1,52100000,53410682
210-_-0,210,0,North Quincy Station - Quincy Center Station,,2,52100003,53410581
210-1-0,210,0,Fields Corner Station - Braintree Station,Late nights only,3,52100007,53410681
210-3-1,210,1,Quincy Center Station - Fields Corner Station,Weekdays only,1,52100100,53410688
210-_-1,210,1,Quincy Center Station - North Quincy Station,,3,52100103,53410536
211-_-0,211,0,Squantum - Quincy Center Station,,1,52110000,53410723
211-_-1,211,1,Quincy Center Station - Squantum,,1,52110100,53410709
211-1-1,211,1,Hollis Ave & Newbury Ave - Squantum,School days only,3,52110104,53410555
211-3-1,211,1,E Squantum St & Newbury Ave - Squantum,School days only,3,52110106,53410558
211-9-1,211,1,Hancock St & St Anns Rd - Squantum,School days only,3,52110108,53410557
215-1-0,215,0,Ashmont Station - Quincy Center Station,,1,52150000,53410807
215-3-0,215,0,Fields Corner Station - Quincy Center Station,Sundays only,3,52150004,53417006
215-2-0,215,0,Adams St & Robertson St - Quincy Center Station,School days only,3,52150006,53410554
215-_-0,215,0,North Quincy Station - Quincy Center Station,Early mornings only,3,52150008,53410813
215-1-1,215,1,Quincy Center Station - Ashmont Station,,1,52150100,53410804
215-3-1,215,1,Quincy Center Station - Fields Corner Station,Sundays only,3,52150104,53417034
215-7-1,215,1,Quincy Center Station - East Milton Square,School days only,3,52150106,53410505
215-_-1,215,1,Quincy Center Station - North Quincy Station,Early mornings only,3,52150108,53410854
216-2-0,216,0,Quincy Center Station - Houghs Neck via Germantown,,1,52160000,53410864
216-4-0,216,0,Quincy Center - Houghs Neck via McGrath Hwy & Germantown,,2,52160004,53410941
216-5-0,216,0,Coddington St & Newcomb St - Houghs Neck via Germantown,School days only,3,52160007,53411222
216-1-0,216,0,Calvin Rd & Moffat Rd - Houghs Neck,School days only,3,52160009,53410892
216-6-0,216,0,Calvin Rd & Moffat Rd - Germantown,School days only,3,52160011,53410876
216-_-1,216,1,Houghs Neck - Quincy Center Station,,1,52160100,53410867
216-4-1,216,1,Houghs Neck - Quincy Center Station via McGrath Hwy,,2,52160104,53410866
217-8-0,217,0,Ashmont Station - Quincy Center Station via North Quincy,Weekdays only,1,52170000,53410544
217-1-0,217,0,Ashmont - Quincy Center via North Quincy & Hollis Ave,AM peak hours only,2,52170002,53410553
217-8-1,217,1,Quincy Center Station - Ashmont Station via North Quincy,Weekdays only,1,52170100,53410543
217-2-1,217,1,Hollis Ave & Newbury Ave - Bryant Ave & Upton St,School days only,2,52170103,53410585
220-3-0,220,0,Quincy Center Station - Hingham Depot,,1,52200000,53411269
220-4-0,220,0,Quincy Center Station - Hingham Depot via Hingham Center,Weekdays only,2,52200004,53411304
220-3-1,220,1,Hingham Depot - Quincy Center Station,,1,52200100,53411350
222-9-0,222,0,Quincy Center Station - Pleasant St & Washington St,,1,52220000,53410503
222-_-0,222,0,Quincy Center Station - East Weymouth,,1,52220004,53410495
222-_-1,222,1,East Weymouth - Quincy Center Station,,1,52220100,53410496
222-9-1,222,1,Pleasant St & Washington St - Quincy Center Station,,1,52220104,53410504
225-1-0,225,0,Quincy Center Station - Weymouth Landing via South St,,1,52250000,53410586
225-_-0,225,0,Quincy Center Station - Weymouth Landing via Quincy Ave,,1,52250004,53410591
225-1-1,225,1,Weymouth Landing - Quincy Center Station via South St,,1,52250100,53410589
225-_-1,225,1,Weymouth Landing - Quincy Center Station via Quincy Ave,,1,52250104,53410588
226-_-0,226,0,Braintree Station - Columbian Square,,1,52260000,53410605
226-_-1,226,1,Columbian Square - Braintree Station,,1,52260100,53410587
230-3-0,230,0,Quincy Center Station - Montello Station,,1,52300000,53410748
230-4-0,230,0,Braintree Station - Montello Station,Weekday early mornings only,3,52300004,53410799
230-3-1,230,1,Montello Station - Quincy Center Station,,1,52300100,53410749
230-4-1,230,1,Montello Station - Braintree Station,Weekday early mornings only,3,52300104,53410756
236-2-0,236,0,Quincy Center Station - South Shore Plaza,,1,52360000,53410499
236-3-0,236,0,Quincy Center Station - Braintree Station,Mornings only,3,52360004,53410537
236-2-1,236,1,South Shore Plaza - Quincy Center Station,,1,52360100,53410500
236-3-1,236,1,Braintree Station - Quincy Center Station,Mornings only,2,52360104,53410538
238-9-0,238,0,Quincy Center Station - Holbrook/Randolph Station,Weekdays only,1,52380000,53410952
238-7-0,238,0,Quincy Center Station - Crawford Square,,2,52380003,53410955
238-3-0,238,0,Quincy Center Station - Avon Square,,3,52380006,53410999
238-5-0,238,0,Quincy Center - Crawford Square (Omits South Shore Plaza),Sunday early mornings only,3,52380009,53417325
238-9-1,238,1,Holbrook/Randolph Station - Quincy Center Station,Weekdays only,1,52380100,53410948
238-7-1,238,1,Crawford Square - Quincy Center Station,,2,52380103,53410950
238-3-1,238,1,Avon Square - Quincy Center Station,Sundays only,3,52380106,53417302
240-1-0,240,0,Ashmont Station - Avon Square,,1,52400000,53410957
240-9-0,240,0,Ashmont Station - Holbrook/Randolph Station,Weekdays only,1,52400004,53410960
240-_-0,240,0,Ashmont Station - Crawford Square,,3,52400007,53411004
240-1-1,240,1,Avon Square - Ashmont Station,,1,52400100,53410947
240-9-1,240,1,Holbrook/Randolph Station - Ashmont Station,Weekdays only,2,52400104,53410951
240-_-1,240,1,Memorial Pkwy - Ashmont Station,,2,52400106,53411008
240-3-1,240,1,Holbrook/Randolph Station - North Randolph,Weekday evenings only,3,52400110,53410992
240-2-1,240,1,Crawford Square - North Randolph,,3,52400112,53410996
245-_-0,245,0,Mattapan Station - Quincy Center Station via Edge Hill Rd,Weekdays only,1,52450000,53410540
245-8-0,245,0,Mattapan - Quincy Center via Alleyne St & Edge Hill Rd,AM peak hours only,2,52450003,53410533
245-_-1,245,1,Quincy Center Station - Mattapan Station via Edge Hill Rd,Weekdays only,1,52450100,53410532
245-5-1,245,1,Hancock St & St Anns Rd - Newport Ave & Beale St,School days only,3,52450102,53410556
350-5-0,350,0,Alewife Station - North Burlington via Burlington Mall,,1,53500000,53144408
350-4-0,350,0,Alewife Station - North Burlington,,2,53500004,53144406
350-8-0,350,0,Alewife Station - Northwest Park,Weekday early mornings only,3,53500008,53144482
350-5-1,350,1,North Burlington - Alewife Station via Burlington Mall,,1,53500100,53144407
350-4-1,350,1,North Burlington - Alewife Station,,3,53500104,53216877
351-_-0,351,0,Third Ave - Bedford Woods Dr,Weekdays only,1,53510000,53144394
351-1-0,351,0,Third Ave - Bedford Woods Dr via EMD Serono,Weekdays only,1,53510002,53144444
351-1-1,351,1,Bedford Woods Dr - Third Ave via EMD Serono,Weekdays only,1,53510100,53144396
351-_-1,351,1,Bedford Woods Dr - Third Ave,Weekdays only,1,53510102,53144443
354-4-0,354,0,"State St, Boston - North Burlington via West Cummings Park",Weekdays only,1,53540000,53435566
354-6-0,354,0,"State St, Boston - North Burlington via Medford Sq & West Cummings Park",Weekdays only,2,53540003,53435561
354-4-1,354,1,"North Burlington - State St, Boston via West Cummings Park",Weekdays only,1,53540100,53435224
354-6-1,354,1,"North Burlington - State St, Boston via West Cummings Park & Medford Sq",Weekdays only,1,53540103,53435234
411-9-0,411,0,Malden Center Station - Jack Satter House via Kennedy Dr,,1,54110000,53435349
411-1-0,411,0,Malden Center Station - Kennedy Dr,Weekdays only,1,54110003,53435321
411-9-1,411,1,Jack Satter House - Malden Center Station via Kennedy Dr,,1,54110100,53435538
411-1-1,411,1,Kennedy Dr - Malden Center Station,Weekdays only,1,54110103,53435279
424-6-0,424,0,Wonderland Station - Eastern Ave & Essex St,Weekdays only,1,54240000,53402811
424-6-1,424,1,Eastern Ave & Essex St - Wonderland Station,Weekday mornings only,1,54240100,53402807
426-_-0,426,0,"Haymarket Station - Central Square, Lynn",Weekdays only,1,54260000,53402777
426-7-0,426,0,"Wonderland Station - Central Square, Lynn via Silsbee St",,2,54260003,53402783
426-2-0,426,0,"O'Callaghan Way & Holyoke St - Central Square, Lynn",School days only,3,54260006,53403322
426-3-0,426,0,"O'Callaghan Way & Fecteau Way - Central Square, Lynn",School days only,3,54260008,53403333
426-5-0,426,0,"Haymarket Station - Central Square, Lynn via Bell Cir",Weekday late nights only,3,54260010,53403069
426-_-1,426,1,"Central Square, Lynn - Haymarket Station",Weekdays only,1,54260100,53402771
426-7-1,426,1,"Central Square, Lynn - Wonderland Station",,2,54260103,53402775
428-_-0,428,0,Haymarket Station - Oaklandvale,Weekdays only,1,54280000,53403645
428-_-1,428,1,Oaklandvale - Haymarket Station,Weekday mornings only,1,54280100,53403642
429-_-0,429,0,Central Sq - Northgate Ctr via Square One & Garfield Ave,,1,54290000,53402922
429-1-0,429,0,"Central Sq, Lynn - Northgate Shopping Ctr via Garfield Ave",Weekday mornings only,2,54290004,53402919
429-3-0,429,0,"Central Square, Lynn - O'Callaghan Way & Fecteau Way",School days only,2,54290007,53403317
429-2-0,429,0,"Central Sq, Lynn - Northgate Shopping Ctr via Square One",Evenings only,3,54290009,53402929
429-5-0,429,0,Neptune Towers - O'Callaghan Way & Osborne St,School days only,3,54290012,53403327
429-_-1,429,1,Northgate Ctr - Central Sq via Square One & Garfield Ave,,1,54290100,53402909
429-1-1,429,1,"Northgate Shopping Ctr - Central Sq, Lynn via Garfield Ave",Weekday mornings only,2,54290104,53402905
429-3-1,429,1,"O'Callaghan Way & Fecteau Way - Central Square, Lynn",School days only,3,54290107,53403332
429-2-1,429,1,"Northgate Shopping Ctr - Central Sq, Lynn via Square One",Evenings only,3,54290109,53402916
429-4-1,429,1,"O'Callaghan Way & Holyoke St - Central Square, Lynn",School days only,3,54290112,53403323
430-1-0,430,0,Malden Center Station - Saugus Center,,1,54300000,53435342
430-6-0,430,0,Malden Center Station - Saugus Center (Omits Square One),Weekday mornings only,2,54300004,53435320
430-7-0,430,0,Salem St & Sprague St - Square One Mall,School days only,3,54300007,53435545
430-2-0,430,0,Malden Center Station - Saugus Center via Kennedy Dr,Weekday evenings only,3,54300009,53436947
430-1-1,430,1,Saugus Center - Malden Center Station,,1,54300100,53435551
430-6-1,430,1,Saugus Center - Malden Center Station (Omits Square One),Weekday mornings only,2,54300104,53435547
430-2-1,430,1,Saugus Center - Malden Center Station via Kennedy Dr,Weekday evenings only,3,54300106,53436945
435-8-0,435,0,Neptune Towers - Salem Depot,,1,54350000,53402858
435-7-0,435,0,"Central Square, Lynn - Salem Depot",,2,54350003,53402861
435-6-0,435,0,Neptune Towers - Liberty Tree Mall,Sundays only,3,54350007,53410033
435-_-0,435,0,"Central Square, Lynn - Liberty Tree Mall",Sundays only,3,54350009,53410043
435-8-1,435,1,Salem Depot - Neptune Towers,,1,54350100,53402863
435-7-1,435,1,"Salem Depot - Central Square, Lynn",,2,54350103,53402866
